"","SoortMisdrijf","SoortMisdrijf_label","WijkenEnBuurten","WijkenEnBuurten_label","Perioden","Perioden_Date","Perioden_freq","Perioden_label","GeregistreerdeMisdrijven_1","Gemeentenaam_2","SoortRegio_3"
"1886","0.0.0 ","Totaal misdrijven","BU02035780","Buitengebied Garderen","2023JJ00",2023-01-01,"Y","2023",22,"Barneveld                     ","Buurt   "
"1887","0.0.0 ","Totaal misdrijven","BU02035781","Garderen","2023JJ00",2023-01-01,"Y","2023",19,"Barneveld                     ","Buurt   "
"1888","0.0.0 ","Totaal misdrijven","BU02035875","Buitengebied Terschuur","2023JJ00",2023-01-01,"Y","2023",100,"Barneveld                     ","Buurt   "
"1889","0.0.0 ","Totaal misdrijven","BU02035876","terschuur","2023JJ00",2023-01-01,"Y","2023",4,"Barneveld                     ","Buurt   "
"1890","0.0.0 ","Totaal misdrijven","BU02035877","Blankenhoef","2023JJ00",2023-01-01,"Y","2023",1,"Barneveld                     ","Buurt   "
"1891","0.0.0 ","Totaal misdrijven","BU02035960","Buitengebied Stroe","2023JJ00",2023-01-01,"Y","2023",61,"Barneveld                     ","Buurt   "
"1892","0.0.0 ","Totaal misdrijven","BU02035961","Stroe","2023JJ00",2023-01-01,"Y","2023",9,"Barneveld                     ","Buurt   "
"1893","0.0.0 ","Totaal misdrijven","BU02036070","Buitengebied Zwartebroek","2023JJ00",2023-01-01,"Y","2023",21,"Barneveld                     ","Buurt   "
"1894","0.0.0 ","Totaal misdrijven","BU02036071","Zwartebroek","2023JJ00",2023-01-01,"Y","2023",4,"Barneveld                     ","Buurt   "
"1895","0.0.0 ","Totaal misdrijven","BU02036190","Buitengebied De Glind","2023JJ00",2023-01-01,"Y","2023",14,"Barneveld                     ","Buurt   "
